Time (s),X-Axis (m/s2),Y- Axis (m/s2),Z-Axis (m/s2)
0.205596924,-0.5875425986221724,0.07113371447890238,0.38628843684288683,
0.210601806,-0.923976949991488,0.27717064345812226,0.49098875728680946,
0.215606689,-0.6778900560869404,0.4228473546102478,0.2951103417669476,
0.22064209,-0.30289554096330235,0.3191250516569486,0.12690858591355808,
0.225646972,-0.23656692105189192,0.4372580491380589,-0.16662498673790355,
0.230651855,0.5079388459709865,0.04909843149794746,-0.23481366126532285,
0.235687256,0.46955908458928924,0.018209409260858678,-0.4464202649497583,
0.240692139,0.8314944356401814,-0.22102817571631306,-0.38969236430355664,
0.245697021,0.8337502360121452,-0.42007205229180045,-0.06467137191159533,
0.250732422,0.4409870052159662,-0.3571269777709407,-0.06706912877927629,
0.255737305,0.40067778776652296,-0.40636808612300257,-0.07472463896092107,
0.260742187,-0.33642798463053164,-0.14313646108590206,-0.03104435960623686,
0.26574707,-0.5794329150481754,0.02340587019377871,0.20692720762751055,
0.270782471,-0.7987269961010404,0.12215487193627261,0.5964987973520085,
0.275787353,-1.0335494679745822,0.3811955772365181,0.49635186991285685,
0.280792236,-0.48590939859841586,0.2915409344454645,0.21894428889903547,
0.285827637,-0.3963813274724827,0.3385794272438716,0.03533609518172839,
0.290832519,0.027658121615763864,0.27469654960759726,-0.1919947957296173,
0.295837402,0.5258618488551111,-0.04647811187642148,-0.29533167642744385,
0.300872803,0.4570786392403389,0.04517835034261353,-0.5369733489544551,
0.305877685,0.9307019738922712,-0.3086205033196592,-0.23805035885106413,
0.310882568,0.602825739270067,-0.28520206671822734,-0.11764975973710134,
0.315887451,0.4247898882910536,-0.35841067681208294,-0.12093865544593108,
0.320922851,0.19235876610159286,-0.2962988539496667,0.05456743501825512,
0.325927734,-0.5701242175874758,0.01194773324651699,0.12600258082710414,
0.330932617,-0.5288776943824807,0.07851570612846359,0.34598028731793334,
0.335968017,-0.8827945383184845,0.29649176412152123,0.4663960462605967,
0.3409729,-0.7330544783110376,0.403831594890967,0.24670082138347738,
0.345977783,-0.20145823108633015,0.3000794360690229,0.05945782507553189,
0.351013183,-0.26458455361906413,0.4181885488552197,-0.09225307587707449,
0.356018066,0.5353172203859987,0.07406499924042542,-0.21937130835790958,
0.361022949,0.501032096621299,-0.019275832638909307,-0.4666347419988277,
0.366027832,0.7590043882345392,-0.20696119345487674,-0.5437667779740623,
0.371063232,0.8715223582438815,-0.4318043063264003,-0.20900023878549978,
0.376068115,0.3639415194076052,-0.3703457888111199,-0.08675585509089984,
0.381072998,0.33520839130733415,-0.4284299513613963,0.009123147958530087,
0.386108398,-0.3236789900791327,-0.18568829702661738,0.11456170196057408,
0.391113281,-0.6592483678445562,0.027657858472457164,0.24295551391220926,
0.396118164,-0.707452405213145,0.13513898209046715,0.5333902900360175,
0.401153564,-0.9796704202642661,0.427972025516123,0.474588208591314,
0.406158447,-0.4102500080864129,0.3557809407253991,0.2168653910918012,
0.41116333,-0.2458391666253803,0.35358227211157,0.10646350427969095,
0.416168213,0.12703472138719574,0.3039351536267567,-0.14084238016999726,
0.421203613,0.7202801208597567,-0.0977820528798432,-0.2659087674172478,
0.426208496,0.6049594482503053,-0.05141900167887492,-0.5766430295587983,
0.431213379,0.9742995898502443,-0.4069677208743503,-0.30617526349078866,
0.436248779,0.6166344960989455,-0.4462406806057295,-0.13001101157388095,
0.441253662,0.28644724531665644,-0.41445104057833326,-0.07336916082160477,
